y2016_id,y2022_id,y2022_comment
G-01-01-01-02,JnGV10M,PR-プロフェッショナリズム全体
G-01-01-03-02,,臨床実習ガイドライン
G-01-01-03-03,,臨床実習ガイドライン
G-01-01-03-04,,臨床実習ガイドライン
G-01-01-03-05,,臨床実習ガイドライン
G-01-01-03-06,,臨床実習ガイドライン
G-01-01-03-07,,臨床実習ガイドライン
G-01-01-03-08,,臨床実習ガイドライン
G-01-01-03-09,,臨床実習ガイドライン
G-01-01-03-10,,臨床実習ガイドライン
G-01-01-03-11,,臨床実習ガイドライン
G-01-01-03-12,,臨床実習ガイドライン
G-01-01-03-13,,臨床実習ガイドライン
G-04-01-02-02,,臨床実習ガイドライン
G-04-01-02-03,,臨床実習ガイドライン
G-04-01-04-05,,臨床実習ガイドライン
G-04-04-na-02,,臨床実習ガイドライン
G-04-04-na-03,,臨床実習ガイドライン
G-04-04-na-04,,臨床実習ガイドライン
A-05-01-na-01,JnGUPio,多職種連携能力編集用/協働実践
B-01-07-na-04,JnGUR4k,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ
B-01-07-na-07,JnGUR4k,総合的に患者・生活者をみる姿勢/地域の視点とアプローチ
A-07-01-na-04,JnGUR4k,地域の視点とアプローチ
A-08-01-na-03,JnGUW2o,患者情報の統合、分析と評価、診療計画
G-01-01-01-03,JnGV10k,医学知識と問題対応能力
G-01-01-01-04,JnGV10w,診療技能と患者ケア
G-01-01-01-05,JnGV104,コミュニケーション能力
G-01-01-01-06,JnGV11A,チーム医療の実践
G-01-01-01-07,JnGUW24,医療の質と安全の管理
G-01-01-01-08,JnGV11E,社会における医療の実践
G-01-01-01-09,JnGV10g,科学的探究
G-01-01-01-10,JnGV10Y,生涯にわたって共に学ぶ姿勢
